epoch,bbox_output_mse,class_output_accuracy,loss,val_bbox_output_mse,val_class_output_accuracy,val_loss
43,4860.287109375,0.6311261653900146,4862.2353515625,4874.33740234375,0.8187500238418579,4875.03271484375
44,4773.53369140625,0.6389468312263489,4775.3515625,4901.65283203125,0.8229166865348816,4902.37060546875
45,4786.54150390625,0.6449426412582397,4788.3134765625,4884.1162109375,0.8229166865348816,4884.767578125
46,4718.54541015625,0.643378496170044,4720.2646484375,4806.3408203125,0.8104166388511658,4807.001953125
47,4715.20654296875,0.6613659858703613,4716.8134765625,4800.93701171875,0.8208333253860474,4801.591796875
48,4678.4716796875,0.6665797829627991,4680.025390625,4770.5009765625,0.831250011920929,4771.09619140625
49,4625.904296875,0.6616266965866089,4627.42529296875,4756.298828125,0.8374999761581421,4756.8837890625
50,4610.57373046875,0.6574556827545166,4612.04541015625,4722.30615234375,0.8229166865348816,4722.91552734375
51,4602.7568359375,0.668925940990448,4604.24365234375,4712.2548828125,0.824999988079071,4712.84375
52,4570.2744140625,0.6772679686546326,4571.60693359375,4716.828125,0.8166666626930237,4717.46044921875
53,4514.44384765625,0.6793534755706787,4515.7353515625,4670.25732421875,0.824999988079071,4670.80712890625
54,4542.94970703125,0.6884775757789612,4544.18115234375,4663.5517578125,0.8062499761581421,4664.14990234375
55,4473.29150390625,0.6730969548225403,4474.5615234375,4666.759765625,0.8145833611488342,4667.35888671875
56,4483.306640625,0.6978623270988464,4484.43896484375,4625.0419921875,0.8020833134651184,4625.591796875
57,4455.5810546875,0.6913451552391052,4456.7138671875,4632.7373046875,0.8333333134651184,4633.27001953125
58,4460.3076171875,0.7012513279914856,4461.4013671875,4599.77880859375,0.8270833492279053,4600.31298828125
59,4409.9541015625,0.7135036587715149,4411.00146484375,4606.37060546875,0.8229166865348816,4606.92529296875
60,4394.0078125,0.7231491208076477,4395.02294921875,4575.79150390625,0.8166666626930237,4576.3203125
61,4328.5576171875,0.7106360793113708,4329.55078125,4566.40869140625,0.8354166746139526,4566.90771484375
62,4297.23388671875,0.7181960344314575,4298.193359375,4546.83740234375,0.8145833611488342,4547.39697265625
